@relation 123

@attribute TEMPINC numeric
@attribute DEWPOINTTEMPINC numeric
@attribute RELHUMINPERCENT numeric
@attribute WINDDIRIN10SDEG numeric
@attribute WINDSPDINKMH numeric
@attribute VISIBILITYINKM numeric
@attribute STNPRESSINKPA numeric
@attribute WINDCHILL numeric
@attribute Class {1,2,3}
@data
-20.3,-25.1,65,25,33,24.1,101.15,-33,1
-20.5,-26.3,60,26,19,24.1,101.22,-31,1
-21,-26,64,29,30,24.1,101.18,-34,1
-21.6,-25.8,69,21,30,24.1,101.18,-35,1
-22.2,-26.5,68,27,32,24.1,101.28,-36,1
-22.5,-25.9,74,28,26,24.1,101.28,-35,1
-24.2,-27.9,71,27,30,24.1,101.22,-38,1
-24.6,-29.5,64,28,32,24.1,101.15,-39,1
-24.6,-26.2,87,28,22,24.1,101.15,-37,1
-24.6,-28.3,71,26,22,24.1,101.15,-37,1
-24.5,-27.3,78,24,30,24.1,101.05,-38,1
-24.4,-29.3,64,24,22,24.1,101.05,-37,1
-24.4,-29.3,64,24,22,24.1,101.05,-37,1
-24.9,-28.7,71,24,19,24.1,100.98,-36,1
-25.3,-29.2,70,21,20,24.1,100.98,-37,1
-21.8,-27,63,36,19,24.1,100.54,-32,1
-21.6,-27.9,57,35,13,24.1,100.54,-30,1
-21.6,-27.9,57,35,13,24.1,100.54,-30,1
-25.4,-32.1,54,23,32,24.1,101.12,-40,1
-26.2,-30.2,69,29,32,24.1,101.25,-41,1
-26.2,-30.2,69,29,32,24.1,101.32,-41,1
-26.2,-30.2,69,32,41,24.1,101.42,-43,1
-26,-31.4,60,29,26,24.1,101.55,-40,1
-12.8,-15.2,82,12,9,24.1,97.06,-18,1
-13.1,-15,86,12,7,24.1,97.06,-18,1
-13,-15.7,80,11,7,24.1,97.06,-18,1
-14.7,-16.1,89,11,6,24.1,97.1,-19,1
-11.5,-14.4,79,13,6,24.1,97.1,-15,1
-8.9,-12.9,73,12,6,24.1,96.97,-12,1
-6.5,-11.4,68,35,11,24.1,96.81,-11,1
-5.5,-11.2,64,34,13,24.1,96.77,-11,1
-5.1,-10.8,64,35,11,24.1,96.77,-10,1
-5.5,-11.4,63,33,13,24.1,96.71,-11,1
-6.6,-11.3,69,33,9,24.1,96.68,-11,1
-7.3,-11,75,33,19,24.1,96.68,-14,1
-7.1,-10.7,75,35,22,24.1,96.68,-15,1
-8.3,-11.1,80,35,22,24.1,96.64,-16,1
-8.4,-11.2,80,33,11,24.1,96.64,-14,1
-4,-9.2,67,5,22,24.1,96.26,-11,1
-5,-9.1,73,1,22,24.1,96.26,-12,1
-5.1,-9.7,70,3,19,24.1,96.22,-12,1
-5,-9.7,70,35,22,24.1,96.22,-12,1
-6.8,-9.6,80,34,28,24.1,96.19,-15,1
-5.1,-9.2,73,2,22,24.1,96.22,-12,1
-6.5,-9.8,77,2,19,24.1,96.22,-13,1
-8.3,-9.6,90,34,28,24.1,96.19,-17,1
-8.7,-10.9,84,12,7,16.1,96.35,-13,1
-3.2,-4.3,92,30,11,8,96.42,-7,2
-10.7,-16.3,63,35,19,24.1,96.81,-19,1
-11.6,-16.7,66,35,19,24.1,96.93,-20,1
-12.7,-16.1,76,34,7,24.1,97.06,-17,1
-4.6,-6.3,88,14,6,9.7,97.19,-7,2
-0.2,-0.5,98,33,9,1.2,95.42,-3,2
-0.3,-0.4,99,33,11,1.2,95.45,-4,2
-0.3,-0.4,99,33,9,1.2,95.48,-3,2
-0.7,-0.9,99,14,6,1.2,95.51,-3,2
-29.2,-33.8,64,33,4,24.1,99.94,-34,3
-26.5,-30.8,67,27,4,24.1,100.11,-31,3
-25.2,-29.4,68,26,6,24.1,100.11,-31,3
-24.7,-28.6,70,26,7,24.1,100.04,-31,1
-24.1,-28.2,69,28,7,24.1,100.04,-30,1
-27.4,-31.5,68,13,7,24.1,99.81,-34,1
-28,-32.2,67,35,7,24.1,99.51,-35,3
-28.9,-33.1,67,32,7,24.1,99.61,-36,3
-28.3,-33.1,63,32,17,3.2,99.61,-40,3
-27.5,-31.6,68,32,15,4.8,99.61,-38,3
-26.7,-31.1,66,32,19,6.4,99.64,-39,3
-25.6,-29.8,68,32,22,6.4,99.61,-38,3
-24.2,-28.4,68,32,24,4.8,99.61,-37,3
-23.4,-27.4,70,33,26,1.6,99.58,-36,3
-22.7,-26.6,70,33,30,2.4,99.58,-36,3
-13,-17.6,68,18,13,24.1,98.72,-20,1
-12.7,-17.4,68,18,13,24.1,98.68,-20,1
-13.1,-18,67,18,15,24.1,98.58,-21,1
-12.7,-18.2,63,19,19,24.1,98.58,-21,1
-12.3,-18.4,60,20,17,24.1,98.62,-20,1
-18.6,-23.3,66,36,30,24.1,98.22,-31,3
-18.9,-23.9,65,1,30,16.1,98.45,-31,3
-20.1,-26.1,59,36,30,19.3,98.75,-33,3
-20.5,-26.8,57,35,28,24.1,98.85,-33,3
-26,-30.1,68,33,13,19.3,99.51,-36,3
-25.1,-29.6,66,32,22,24.1,99.51,-37,3
-25.1,-29.1,69,31,26,24.1,99.48,-38,3
-24.9,-29.2,67,31,22,24.1,99.51,-37,3
-24.4,-28.9,66,32,24,24.1,99.55,-37,3
-23.9,-28.5,66,32,26,24.1,99.51,-37,3
-23.7,-28.5,65,32,22,24.1,99.45,-36,3
-23.3,-28,65,31,26,24.1,99.45,-36,3
-22.8,-27.6,65,31,20,24.1,99.48,-34,3
-26.5,-30.8,67,32,19,24.1,99.45,-38,1
-26.5,-30.7,68,32,15,24.1,99.45,-37,1
-26.6,-31,66,32,13,24.1,99.48,-36,1
-25.6,-30.3,65,31,24,24.1,99.55,-39,1
-24.5,-29.7,62,30,22,24.1,99.61,-37,1
-24.2,-29.4,62,31,28,24.1,99.61,-38,3
-23.4,-28.4,63,32,24,24.1,99.61,-36,3
-23,-28.4,61,32,28,24.1,99.55,-36,3
-22.1,-28.2,58,33,30,24.1,99.55,-35,3
-31.8,-37.1,59,6,11,24.1,100.57,-42,3
-31.4,-36.6,60,6,13,16.1,100.53,-42,3
-27.6,-33.2,59,4,19,16.1,100.17,-40,3
-27.3,-33,58,5,20,16.1,100.17,-40,3
-27.5,-33.4,57,3,20,16.1,100.17,-40,3
-28,-34,56,3,19,24.1,100.14,-40,3
-28.2,-34.5,55,4,19,24.1,100.14,-41,3
-38.2,-42.7,63,33,19,16.1,100.37,-53,3
-39.3,-43.6,64,33,15,16.1,100.37,-53,3
-39.9,-44,65,31,15,16.1,100.37,-54,3
-38.4,-42.8,63,32,17,16.1,100.53,-53,1
-37.5,-42,63,32,20,16.1,100.57,-53,1
-36.3,-41,62,32,17,24.1,100.63,-50,1
-34.6,-39.6,60,32,15,24.1,100.7,-47,1
-33.7,-39,59,30,20,24.1,100.67,-48,1
-33.3,-38.7,58,30,19,24.1,100.7,-47,1
-35.2,-40.2,60,30,17,24.1,100.8,-49,3
-34.7,-39.6,61,28,19,24.1,100.8,-49,3
-35.3,-40.3,60,28,15,24.1,100.83,-48,3
-35.8,-40.6,61,28,17,24.1,100.87,-49,3
-35.6,-40.4,61,29,22,24.1,100.87,-51,3
-36.2,-41.2,60,27,11,24.1,100.87,-47,1
-36.6,-41.2,62,27,9,24.1,100.87,-46,1
-36.8,-41.3,63,26,9,24.1,100.83,-47,1
-36.6,-41.4,61,26,11,24.1,100.8,-48,1
-36.3,-40.9,62,26,9,24.1,100.73,-46,1
-36.6,-41.5,60,26,4,24.1,100.73,-42,1
-35.2,-40.3,60,28,13,24.1,100.67,-47,1
-29.9,-35.7,57,29,13,24.1,99.94,-40,1
-29.8,-35.6,57,30,17,16.1,100.24,-42,3
-30.9,-36.5,58,31,15,24.1,100.3,-43,1
-31.5,-36.8,59,31,19,24.1,100.37,-45,1
-32.1,-37.5,59,31,19,24.1,100.4,-45,1
-31.9,-37.4,58,31,19,24.1,100.47,-45,1
-34.4,-39.9,57,25,4,24.1,100.07,-39,3
-32.1,-37,62,14,7,24.1,99.97,-40,3
-32.3,-37.1,62,15,7,24.1,99.94,-40,3
-30.6,-35,65,16,9,24.1,99.94,-39,3
-28.5,-33.2,64,10,13,19.3,99.74,-39,3
-8,-10,85,11,6,9.7,96,-11,2
0,0,100,12,9,3.2,95.8,-3,2
-0.2,-0.3,99,14,4,4.8,95.61,-1,2
-30.6,-35.3,63,23,6,24.1,99.81,-37,3
-29.9,-34.3,65,28,2,24.1,99.88,-32,3
-28.3,-32.8,65,27,4,24.1,99.91,-33,3
-27.8,-31.9,68,29,6,24.1,99.91,-34,3
-25.5,-30.1,65,18,6,24.1,99.98,-31,3
-27.8,-32.6,64,29,4,24.1,99.98,-32,3
-21.5,-25.1,73,7,7,24.1,99.81,-27,3
-18.5,-22.4,71,12,4,24.1,99.74,-22,1
-15.4,-20.5,65,12,4,24.1,99.74,-18,1
-20.1,-25.2,64,27,9,24.1,99.68,-27,1
-20.7,-25.4,66,27,7,24.1,99.64,-26,1
-17.8,-22.9,64,28,6,24.1,99.61,-22,1
-21,-25.2,69,27,9,24.1,99.64,-28,1
-25.9,-29.4,72,11,4,24.1,99.88,-30,3
-26.2,-30.3,68,12,2,19.3,99.91,-28,3
-21.6,-25,74,11,2,16.1,99.94,-23,3
-3.9,-4.1,99,13,6,6.4,97.89,-7,2
-3.4,-3.7,98,13,7,8,97.89,-6,2
-22.2,-24.6,81,29,30,24.1,100.07,-35,1
-22.5,-25,80,28,32,24.1,100.07,-36,1
-22.2,-24.6,81,30,32,24.1,100.13,-36,1
-22.7,-25.2,80,29,32,24.1,100.2,-36,1
-23,-25.5,80,28,33,24.1,100.17,-37,1
-23.3,-25.8,80,29,33,24.1,100.2,-37,1
-24,-26.6,79,26,37,24.1,100.24,-39,1
-24.3,-26.9,79,29,32,24.1,100.24,-39,1
-24.6,-27.2,79,27,37,24.1,100.2,-40,1
-24.5,-27.1,79,25,41,24.1,100.13,-40,1
-25,-27.7,78,25,37,24.1,100.2,-40,1
-25,-27.7,78,25,37,24.1,100.2,-40,1
-25.3,-28,78,25,46,24.1,100.2,-42,1
-25.2,-27.9,78,27,32,24.1,100.27,-40,1
-25.5,-28.2,78,28,22,24.1,100.3,-38,1
-24.8,-27.5,78,25,33,24.1,100.27,-39,1
-24,-27.6,72,27,32,24.1,100.34,-38,1
-24.2,-26.8,79,25,35,24.1,100.41,-39,1
-24.6,-27.2,79,22,35,24.1,100.44,-39,1
-22,-27.3,62,24,28,24.1,100.41,-35,1
-20.4,-27.2,55,27,28,24.1,100.61,-33,1
-20.4,-25.2,65,26,32,24.1,100.68,-33,1
-21.1,-26.1,64,27,30,24.1,100.74,-34,1
-21,-27,58,28,35,24.1,100.81,-35,1
-20.8,-24.8,70,26,32,24.1,100.81,-34,1
-20.8,-23.9,76,26,28,24.1,100.81,-33,1
-21,-25,70,24,15,24.1,100.84,-30,1
-22.6,-27,67,24,26,24.1,100.88,-35,1
-23,-27.5,67,24,30,24.1,100.84,-36,1
-21.8,-26,69,25,32,24.1,100.88,-35,1
-21.9,-26.1,69,24,32,24.1,100.88,-35,1
-24.2,-29,64,21,20,24.1,100.88,-36,1
-24.6,-28.3,71,22,20,24.1,100.91,-36,1
-25,-28.8,71,24,28,24.1,100.88,-39,1
-25,-27.7,78,24,22,24.1,100.95,-37,1
-25.7,-28.4,78,21,15,24.1,100.88,-36,1
-21,-26,64,28,13,24.1,101.25,-30,1
-21.2,-25.3,69,24,9,24.1,101.22,-28,1
-22.3,-26.6,68,21,20,24.1,101.22,-33,1
-23,-27.5,67,19,19,24.1,101.18,-34,1
-24.6,-27.2,79,31,39,24.1,102.3,-40,1
-24.8,-27.5,78,30,44,24.1,102.23,-41,1
-26.2,-31.6,60,29,39,24.1,101.66,-42,1
-26,-32.9,52,30,35,24.1,101.76,-41,1
-26.6,-30.7,68,33,19,24.1,101.99,-39,1
-27.3,-30.1,77,28,32,24.1,102.1,-42,1
-26.9,-31,68,30,37,24.1,102.23,-43,1
-26,-30,69,30,32,24.1,102.4,-41,1
-24.5,-29.4,64,29,32,24.1,102.43,-39,1
-23,-27.5,67,27,19,24.1,102.43,-34,1
-22.6,-27,67,24,15,24.1,102.47,-32,1
-20.2,-24.9,66,23,15,24.1,102.6,-29,1
-19.2,-24.5,63,27,19,24.1,102.67,-29,1
-19.6,-24.2,67,24,24,24.1,102.74,-31,1
-19.6,-23.3,72,22,19,24.1,102.81,-30,1
-20.2,-24.9,66,21,19,24.1,102.87,-30,1
-20.2,-24.9,66,21,19,24.1,102.91,-30,1
-20.4,-24.3,71,21,30,24.1,102.94,-33,1
-20.6,-24.5,71,21,35,24.1,102.91,-34,1
-20.4,-24.3,71,22,22,24.1,102.94,-31,1
-20.2,-24,72,24,35,24.1,102.91,-34,1
-20.2,-24,72,21,39,24.1,102.91,-34,1
-22.5,-25.9,74,29,28,24.1,102.6,-35,1
-23.1,-26.6,73,20,13,24.1,102.67,-32,1
-22.6,-26,74,29,13,24.1,102.7,-32,1
-22.9,-26.3,74,23,7,24.1,102.77,-29,1
-23.6,-27.1,73,24,13,24.1,102.84,-33,1
-23.6,-27.1,73,25,17,24.1,102.87,-34,1
-23.9,-26.5,79,24,9,24.1,102.87,-31,1
-24.2,-26.8,79,25,22,24.1,102.84,-36,1
-26,-30,69,21,7,24.1,102.84,-33,1
-23.8,-27.4,72,23,13,24.1,102.84,-33,1
-20.3,-24.2,71,21,37,24.1,99.32,-34,1
-20.3,-25.1,65,23,37,24.1,99.39,-34,1
-21,-25,70,23,37,24.1,99.49,-35,1
-21.4,-25.5,69,24,37,24.1,99.56,-36,1
-21.5,-25.6,69,23,46,24.1,99.56,-37,1
-18.6,-22.1,74,25,32,24.1,101.22,-31,1
-18.5,-22.8,69,26,32,24.1,101.35,-31,1
-20.5,-24.4,71,22,28,24.1,101.96,-33,1
-20.6,-24.5,71,23,22,24.1,102.06,-32,1
-22.2,-27.6,61,23,19,24.1,102.2,-33,1
-22.6,-27,67,22,28,24.1,102.3,-36,1
-23,-28.7,60,22,22,24.1,102.37,-35,1
-23.3,-26.8,73,22,32,24.1,102.5,-37,1
-22.8,-27.3,67,22,22,24.1,102.54,-35,1
-22.5,-25.9,74,20,19,24.1,102.57,-33,1
-21.6,-26.8,63,21,30,24.1,102.57,-35,1
-20.5,-26.3,60,23,28,24.1,102.54,-33,1
-19.4,-24.8,62,23,32,24.1,102.54,-32,1
-18.3,-24.1,60,22,30,24.1,102.57,-30,1
-18.9,-24.1,63,20,11,24.1,102.47,-26,1
-18.8,-24,64,18,15,24.1,102.43,-28,1
-24.7,-30.2,60,27,15,16.1,97.94,-35,3
-26.5,-32.1,59,27,15,24.1,98.01,-37,3
-27.9,-33.7,58,28,15,24.1,98.11,-39,3
-28.7,-34.5,57,28,17,24.1,98.21,-41,1
-30.2,-35.7,59,28,15,24.1,98.34,-42,1
-31.3,-36.7,59,28,11,24.1,98.41,-41,1
-32.1,-37.5,59,28,13,24.1,98.44,-43,1
-32.7,-38.5,56,26,6,24.1,98.51,-40,1
-33.4,-38.5,60,26,9,24.1,98.58,-43,1
-33.7,-38.8,60,27,9,24.1,98.71,-43,1
-34.3,-39.4,60,27,11,24.1,98.77,-45,1
-35.3,-41.2,55,30,13,24.1,98.81,-47,1
-35.5,-41,57,32,15,24.1,98.91,-48,1
-35.5,-40.1,63,32,9,24.1,98.94,-45,1
-35.9,-40.7,61,31,7,24.1,99.01,-44,1
-36.6,-41.8,59,35,7,24.1,99.04,-45,1
-36.8,-41.7,60,3,7,24.1,99.11,-45,1
-36.6,-42.5,54,7,4,24.1,99.14,-42,1
-32.1,-36.4,66,4,4,24.1,99.07,-37,3
-35.1,-40.7,57,5,4,24.1,99.07,-40,3
-35.1,-41.3,53,35,7,24.1,99.07,-43,3
-35.3,-39.8,63,31,7,24.1,99.07,-43,3
-33.3,-38.3,61,28,7,24.1,99.14,-41,3
-34.8,-40.1,58,32,11,24.1,99.14,-45,3
-37.9,-42.7,61,7,4,24.1,99.37,-43,1
-39,-42.8,67,7,7,24.1,99.44,-48,1
-41.1,-44.8,67,5,6,24.1,99.47,-49,1
-27.2,-31.9,64,10,24,24.1,98.58,-41,1
-26.2,-30.6,66,11,30,24.1,98.44,-41,1
-25.8,-30.6,64,10,26,24.1,98.34,-39,1
-24.3,-28.7,67,10,30,24.1,98.18,-38,1
-23.1,-27.1,70,10,26,24.1,98.11,-36,1
-30.3,-35.4,61,29,19,24.1,100.07,-43,1
-29.6,-34.8,61,28,13,24.1,100.24,-40,3
-28.1,-33.9,58,31,28,24.1,100.27,-43,3
-28.4,-34.4,56,31,28,24.1,100.33,-43,3
-31.4,-37,58,32,15,24.1,100.8,-43,3
-37.2,-38.5,88,33,15,24.1,100.83,-50,3
-33.6,-38.7,60,32,19,24.1,100.9,-47,1
-33.7,-38.9,59,32,15,24.1,100.93,-46,1
-34.1,-39.2,60,32,19,24.1,101,-48,1
-34.8,-40,59,32,15,24.1,101.03,-47,1
-35.1,-40.2,60,32,15,24.1,101.1,-48,1
-35.5,-40.6,59,33,19,24.1,101.13,-50,1
-36.3,-41,62,32,13,24.1,101.13,-48,1
-37,-41.7,62,31,11,24.1,101.2,-48,1
-37.4,-42,62,32,15,24.1,101.23,-51,1
-37,-41.9,60,34,11,24.1,101.23,-48,1
-35.9,-40.8,61,34,11,24.1,101.23,-47,1
-35,-40.3,58,31,9,24.1,101.26,-45,1
-35,-40.1,60,32,7,24.1,101.3,-43,1
-35.4,-40.9,57,31,6,24.1,101.33,-43,1
-36.3,-41.6,58,32,7,24.1,101.33,-45,1
-37.2,-42,61,33,6,24.1,101.33,-45,1
-38.1,-42.4,64,33,4,24.1,101.33,-43,1
-40,-43.6,68,2,7,16.1,101.33,-49,1
-38.7,-43.4,61,5,6,16.1,101.33,-47,1
-39,-43,66,5,7,24.1,101.46,-48,1
-39.6,-44,63,3,7,24.1,101.4,-48,1
-39.9,-43.4,69,3,7,16.1,101.4,-49,3
-39.9,-43.7,67,4,9,16.1,101.4,-50,3
-39.7,-43.6,66,6,9,16.1,101.4,-50,3
-39.5,-43.5,66,6,15,8,101.4,-53,2
-39.7,-43.9,64,7,11,8,101.46,-51,2
-40.4,-44.6,64,7,7,6.4,101.5,-49,2
-40.2,-44.4,64,8,15,6.4,101.4,-54,2
-34.9,-39.7,62,12,13,16.1,101.43,-47,1
-34.8,-39.8,60,12,11,19.3,101.43,-45,1
-32.2,-37,62,13,24,16.1,100.97,-47,3
-32,-36.8,62,13,24,24.1,100.87,-47,3
-31.3,-36.5,60,13,28,24.1,100.67,-47,3
-23.6,-28.3,65,14,26,9.7,99.57,-36,3
-21.6,-26.4,65,13,19,24.1,99.07,-32,1
-21.6,-26,68,15,13,24.1,99.04,-30,1
-21,-25.7,66,12,11,24.1,99.07,-29,1
-22.3,-26.9,66,8,9,24.1,99.04,-29,1
-22.5,-27,67,6,7,24.1,99.04,-29,1
-21.7,-26,68,13,11,24.1,98.97,-30,1
-22.2,-26.7,67,10,11,24.1,99.01,-30,1
-22.3,-26.7,67,10,6,24.1,98.97,-28,1
-22.5,-27,67,6,6,24.1,99.04,-28,1
-22.5,-27.1,66,5,9,24.1,99.01,-30,1
-22.3,-26.8,67,4,9,24.1,99.04,-29,1
-21,-28.4,51,5,26,24.1,100.1,-33,3
-30.7,-36.3,58,2,6,24.1,101.5,-37,1
-30.9,-36.7,57,4,9,24.1,101.56,-40,1
-31.2,-36.7,58,3,9,24.1,101.63,-40,1
-32.7,-38,59,3,9,24.1,101.66,-42,1
-32.1,-37.8,57,5,9,24.1,101.76,-41,1
-32.5,-38.3,56,5,9,24.1,101.8,-42,1
-33,-38.3,59,3,6,24.1,101.83,-40,1
-36.6,-41.2,62,36,4,24.1,101.76,-42,1
-34.4,-39.8,58,6,11,24.1,101.73,-45,1
-37.4,-40.1,76,6,6,24.1,101.7,-45,1
-35.5,-40.3,61,7,4,24.1,101.7,-41,1
-32.7,-37.5,62,12,7,11.3,101.56,-40,1
-33.3,-38.2,61,10,4,16.1,101.46,-38,1
-33.1,-38.4,59,12,6,16.1,101.33,-40,1
-33.8,-36.5,77,11,9,16.1,101.03,-43,1
-33.8,-38.8,61,11,9,16.1,100.93,-43,1
-33.6,-39,58,11,9,19.3,100.8,-43,1
-32.9,-38,60,12,13,19.3,100.7,-44,1
-32.6,-37.7,60,10,15,19.3,100.67,-45,1
-30.2,-35.1,62,9,11,24.1,100.4,-40,1
-30.1,-35.3,60,10,15,24.1,100.37,-42,1
-17.2,-21.6,69,30,28,24.1,97.01,-29,3
-18.8,-23.8,65,30,22,24.1,97.05,-29,3
-37.9,-42.5,62,4,11,24.1,100.7,-49,1
-38.3,-42.9,62,3,15,24.1,100.73,-52,1
-39.6,-43.7,65,2,9,24.1,100.73,-50,1
-25,-27.7,78,31,44,24.1,102.27,-41,1
-25,-27.7,78,31,44,24.1,102.4,-41,1
-25,-27.7,78,30,44,24.1,102.37,-41,1
-25,-27.7,78,30,35,24.1,102.4,-40,1
-25.2,-27.9,78,30,30,24.1,102.4,-39,1
-23.8,-26.4,79,29,39,24.1,102.43,-39,1
-23.6,-26.2,79,28,39,24.1,102.37,-39,1
-23.7,-27.3,72,29,32,24.1,102.4,-38,1
-23.8,-26.4,79,30,32,24.1,102.43,-38,1
-19.6,-25.1,62,29,30,24.1,102.13,-32,1
-20,-24.7,66,31,32,24.1,102.13,-33,1
-20.2,-22.5,82,28,30,24.1,102.1,-33,1
-20.4,-22.7,82,26,30,24.1,102.03,-33,1
